Emotions,Path
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-08-02-02-01-14.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-08-01-01-01-14.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-06-02-02-01-14.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-04-02-02-02-14.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-05-02-02-02-14.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-04-01-01-02-14.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-08-02-01-01-14.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-04-02-01-01-14.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-08-02-02-02-14.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-08-01-02-02-14.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-05-02-01-01-14.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-07-02-02-02-14.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-06-02-02-02-14.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-07-01-02-02-14.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-02-01-01-02-14.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-05-01-02-01-14.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-04-01-02-02-14.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-04-02-02-01-14.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-05-01-01-02-14.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-07-02-02-01-14.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-02-01-02-01-14.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-06-01-02-02-14.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-05-01-02-02-14.wav
neutral,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-01-01-01-02-14.wav
neutral,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-01-01-02-02-14.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-02-01-01-01-14.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-03-02-02-02-14.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-03-01-02-01-14.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-04-02-01-02-14.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-02-01-02-02-14.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-04-01-02-01-14.wav
neutral,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-01-01-02-01-14.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-06-01-02-01-14.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-06-01-01-02-14.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-08-01-01-02-14.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-02-02-01-02-14.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-04-01-01-01-14.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-03-02-01-01-14.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-06-02-01-01-14.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-05-01-01-01-14.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-07-01-02-01-14.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-08-01-02-01-14.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-07-02-01-02-14.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-02-02-02-02-14.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-08-02-01-02-14.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-08-01-01-01-06.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-03-01-01-02-06.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-02-02-01-02-06.wav
neutral,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-01-01-02-01-06.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-08-01-02-01-06.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-04-01-01-01-06.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-06-01-01-02-06.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-07-02-01-01-06.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-02-02-02-02-06.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-07-02-02-01-06.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-03-02-02-02-06.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-05-01-01-02-06.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-06-01-02-02-06.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-03-01-02-01-06.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-07-02-01-02-06.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-04-01-02-02-06.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-07-02-02-02-06.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-06-01-02-01-06.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-04-02-02-01-06.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-05-02-02-01-06.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-05-02-01-02-06.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-07-01-02-02-06.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-04-01-01-02-06.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-02-02-02-01-06.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-08-02-02-01-06.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-02-02-01-01-06.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-07-01-02-01-06.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-06-02-02-02-06.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-02-01-02-01-06.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-02-01-02-02-06.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-04-02-01-02-06.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-06-02-02-01-06.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-03-02-01-01-06.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-08-02-01-02-06.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-05-01-02-02-06.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-07-01-01-01-06.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-02-01-01-01-06.wav
neutral,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-01-01-01-02-06.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-05-02-02-02-06.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-05-01-02-01-06.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-03-02-01-02-06.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-08-01-01-02-06.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-03-01-02-02-06.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-06-02-01-02-06.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-06-01-01-01-06.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-07-01-01-02-06.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-08-01-02-02-06.wav
neutral,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-01-01-02-02-06.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-08-02-01-01-06.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-06-02-01-01-06.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-05-01-01-01-06.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-03-02-02-01-06.wav
neutral,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-01-01-01-01-06.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-02-01-01-02-06.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-03-01-01-01-06.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-04-02-01-01-06.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-04-02-02-02-06.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-08-02-02-02-06.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-04-01-02-01-06.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_06/03-01-05-02-01-01-06.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-02-01-01-01-12.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-04-02-01-01-12.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-08-01-02-01-12.wav
neutral,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-01-01-02-02-12.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-05-02-01-02-12.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-08-01-01-01-12.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-02-01-01-02-12.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-08-02-02-01-12.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-03-01-01-02-12.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-06-01-02-01-12.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-08-01-01-02-12.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-06-01-01-02-12.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-08-01-02-02-12.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-04-01-02-01-12.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-07-01-02-02-12.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-03-01-02-02-12.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-03-01-02-01-12.wav
neutral,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-01-01-02-01-12.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-05-02-02-01-12.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-08-02-01-01-12.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-07-02-02-01-12.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-05-01-01-02-12.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-02-02-01-02-12.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-06-02-02-01-12.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-04-02-02-02-12.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-08-02-01-02-12.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-07-02-02-02-12.wav
neutral,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-01-01-01-02-12.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-08-02-02-02-12.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-06-02-01-02-12.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-03-02-02-01-12.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-03-01-01-01-12.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-07-01-01-01-12.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-07-02-01-01-12.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-07-02-01-02-12.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-02-02-02-02-12.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-06-02-01-01-12.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-05-02-01-01-12.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-06-01-02-02-12.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-05-01-02-02-12.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-04-01-01-02-12.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-02-01-02-02-12.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-04-01-02-02-12.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-06-02-02-02-12.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-02-01-02-01-12.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-03-02-01-01-12.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-04-01-01-01-12.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-04-02-01-02-12.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-05-01-01-01-12.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-04-02-02-01-12.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-02-02-02-01-12.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-06-01-01-01-12.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-07-01-02-01-12.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-03-02-01-02-12.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-02-02-01-01-12.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-05-01-02-01-12.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-05-02-02-02-12.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-07-01-01-02-12.wav
neutral,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-01-01-01-01-12.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-03-02-02-02-12.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_09/03-01-08-02-02-02-09.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_09/03-01-06-02-02-01-09.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_09/03-01-08-02-01-02-09.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_09/03-01-04-01-02-01-09.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_09/03-01-03-01-01-02-09.wav
surprise,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_09/03-01-08-01-01-01-09.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_09/03-01-02-01-02-02-09.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_09/03-01-05-01-01-01-09.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_09/03-01-04-01-02-02-09.wav
sad,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_09/03-01-04-01-01-01-09.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_09/03-01-07-01-01-01-09.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_09/03-01-06-01-01-01-09.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_09/03-01-02-02-02-02-09.wav
